text,labels,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
None of us went to these PRESTIGIOUS establishments so we're clearly not as superior as these fucking retards...,1,0.9841498732566833,0.031149258837103844,0.9417703151702881,0.028470002114772797,0.02356882579624653,0.006875606719404459,0.013964925892651081,0.040608715265989304,0.17604291439056396,0.016022764146327972,0.007362807169556618
"""You Disrespected My Hoeing"" Pimp Slaps Hoe In The Telly For Talking Back! - bitch",0,0.9816754460334778,0.027399497106671333,0.9211743474006653,0.025590278208255768,0.024686893448233604,0.007073658052831888,0.014553368091583252,0.039234839379787445,0.19094407558441162,0.011600308120250702,0.007005393970757723
"Can't stand that asian dude just now, faggot gives me attitude cause I almost forgot my water, fuck u faggot if I wasn't on stage",1,0.9830815196037292,0.02557358890771866,0.9434400796890259,0.032146889716386795,0.023283351212739944,0.007432213053107262,0.010195130482316017,0.0408305898308754,0.23246069252490997,0.017412111163139343,0.006468210369348526
Iont see how some of you niggas fags!!,1,0.9853805899620056,0.029765816405415535,0.9373101592063904,0.030548211187124252,0.025669340044260025,0.008135803043842316,0.015137025155127048,0.03682641312479973,0.15690504014492035,0.015458043664693832,0.008068958297371864
Took .1 of Molly (gonna die) #pussy #ass #bitch,0,0.9741840362548828,0.02210770919919014,0.9302801489830017,0.04360590875148773,0.016475126147270203,0.005040463991463184,0.01374678686261177,0.07571898400783539,0.40883395075798035,0.00900376494973898,0.004636559169739485
because she's a nigger,1,0.9803752303123474,0.026209617033600807,0.9145596027374268,0.024756668135523796,0.0258055217564106,0.0068282377906143665,0.014186403714120388,0.036549922078847885,0.17534735798835754,0.011852712370455265,0.0066313366405665874
studies show that you're a faggot,1,0.9805742502212524,0.03795860335230827,0.9478916525840759,0.058956895023584366,0.01867385394871235,0.008261008188128471,0.01248848345130682,0.05026168376207352,0.17759720981121063,0.052272144705057144,0.010245067067444324
faggot,1,0.9759841561317444,0.022940436378121376,0.8971846103668213,0.01616193726658821,0.040480587631464005,0.0073377229273319244,0.01623162068426609,0.034347932785749435,0.19091729819774628,0.011615106835961342,0.005968623328953981
you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke,1,0.06433461606502533,0.41230836510658264,0.11504312604665756,0.009023260325193405,0.7218314409255981,0.026173466816544533,0.05600419268012047,0.022896800190210342,0.09372343122959137,0.22135525941848755,0.023420091718435287
lmao you stupid nigger,1,0.9834677577018738,0.028312643989920616,0.9157096147537231,0.021889282390475273,0.042646586894989014,0.0083779813721776,0.018228180706501007,0.029328497126698494,0.1277763694524765,0.014189692214131355,0.007804736960679293
Taco Bell is super trash when you're sober,0,0.9272039532661438,0.03295284882187843,0.9222836494445801,0.036496851593256,0.02089427225291729,0.0028877705335617065,0.010347699746489525,0.12780489027500153,0.6100395917892456,0.024061191827058792,0.0036110568325966597
My doctor tonight is such a miserable cunt. Even my nurse is pissed off. She's been here since 7PM and hasn't come to see me once.,1,0.9828333258628845,0.024359000846743584,0.9557422399520874,0.049095381051301956,0.017804356291890144,0.0068895271979272366,0.008596686646342278,0.04999678209424019,0.29940876364707947,0.018943488597869873,0.005849513690918684
shut the fuck up fag ill beat the shit outta you,1,0.9818096160888672,0.03357313573360443,0.8932439684867859,0.026702502742409706,0.03193802759051323,0.008448534645140171,0.025165827944874763,0.028309810906648636,0.09159597009420395,0.011848402209579945,0.010049796663224697
yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...,1,0.9797434210777283,0.04314382001757622,0.9161044359207153,0.008932857774198055,0.10250281542539597,0.008624137379229069,0.03531256690621376,0.040228221565485,0.16851936280727386,0.017021318897604942,0.008405685424804688
tranny,0,0.9726688265800476,0.026215167716145515,0.8833272457122803,0.0130800511687994,0.053761158138513565,0.006532688159495592,0.021635299548506737,0.03651218116283417,0.20092763006687164,0.010512229055166245,0.005956783890724182
White bus drivers are all white trash. #LosAngeles,1,0.9803628325462341,0.040554746985435486,0.9536102414131165,0.030482476577162743,0.03914850205183029,0.005614296533167362,0.019403871148824692,0.04797844588756561,0.18798792362213135,0.01879691518843174,0.0063499631360173225
She's a cunt,1,0.9804996848106384,0.026867318898439407,0.9258818626403809,0.02848678268492222,0.023387199267745018,0.006526051089167595,0.012443938292562962,0.0371440127491951,0.18020956218242645,0.013917756266891956,0.006444303318858147
"""Obama is out on the golf course still looking for his balls."" -Charlie Daniels",0,0.20459875464439392,0.3811332881450653,0.3336953818798065,0.024386338889598846,0.06311904639005661,0.00320056127384305,0.05207699537277222,0.07298378646373749,0.12525266408920288,0.061764199286699295,0.01172309648245573
okay closet fag,1,0.6513084769248962,0.05535746365785599,0.6856610178947449,0.008210384286940098,0.10081619769334793,0.004165773745626211,0.021237444132566452,0.07534247636795044,0.42568913102149963,0.028383390977978706,0.004028067924082279
I can't fuck any ol bitch niggas be desert dicks out here,1,0.9834340810775757,0.02785593271255493,0.9251007437705994,0.02908920869231224,0.026048142462968826,0.008398141711950302,0.01581055484712124,0.03522633761167526,0.15428966283798218,0.013049377128481865,0.008062181994318962
because if you support lesbians you have to support faggots there's no difference.,1,0.9778478741645813,0.03539349511265755,0.8998903036117554,0.014262158423662186,0.031237686052918434,0.006040454842150211,0.023157229647040367,0.043551620095968246,0.1768994927406311,0.010657316073775291,0.007901092059910297
I need ran theo and theo HOMIE rocking the cool I need some free shit or some hoes,0,0.921313464641571,0.079849474132061,0.7289199233055115,0.003443365218117833,0.4087773263454437,0.013314325362443924,0.10453823208808899,0.026789823547005653,0.10332735627889633,0.021112028509378433,0.013279183767735958
Im to the point where Ill take a manual and not bitch about it.,0,0.49331724643707275,0.3155529201030731,0.30637282133102417,0.011100741103291512,0.164383202791214,0.006462044548243284,0.7921872735023499,0.08746689558029175,0.08828315138816833,0.018133483827114105,0.07567306607961655
My nig jus said ain't nuttin worse den a fat loud hoe.tru fuckin story,1,0.9817876815795898,0.03395899012684822,0.9090873599052429,0.017991794273257256,0.03325771912932396,0.0073729027062654495,0.023916097357869148,0.03462895750999451,0.1289748251438141,0.012014864943921566,0.00867382064461708
All these bitches wanna be like Kim K and fuck their way into being rich but it don't work like that. Get a degree &amp; work a desk job you hoe,0,0.983880341053009,0.035787101835012436,0.9328614473342896,0.019936453551054,0.02946612797677517,0.0066932570189237595,0.020574742928147316,0.04322930425405502,0.1612910032272339,0.013639413751661777,0.008362696506083012
""" bitch gotta die 10,000 deaths. GTFOH",0,0.9568850994110107,0.02297072298824787,0.9593769907951355,0.3602522909641266,0.009108776226639748,0.004507057368755341,0.008225036785006523,0.14463868737220764,0.6305184364318848,0.02205926552414894,0.004548343364149332
nah dude mostly just sound like a faggot,1,0.9761373400688171,0.025258855894207954,0.9140087962150574,0.013054371811449528,0.0457238145172596,0.007331522181630135,0.014837028458714485,0.03874336928129196,0.24204584956169128,0.013889160938560963,0.005620553158223629
