text,labels,Average_Word_Length,Lexical_Diversity,Capital_Letters_Count,Hashtag_Frequency,Mention_Frequency,count_emojis,special_chars_count,Stop_Word_Frequency,Noun_Count,Verb_Count,Participle_Count,Interjection_Count,Pronoun_Count,Preposition_Count,Adverb_Count,Conjunction_Count,Readability_Score,URL_Frequency
This human-elephant conflict has seen 13 refugees killed in elephant attacks since Aug. last year #ucanews #thereforthevoiceless #refugee #Bangladesh,0,6.894736842105263,1.0,3,4,0,0,6,3,6,2,1,0,0,1,1,0,78.75,0
The awkward moment when Lexus is showing you how much crack fits in the cup holders...,0,4.4375,1.0,2,0,0,0,3,7,4,3,1,0,0,0,0,0,80.62,0
People- why are you so fucking mean Me-,0,4.0,1.0,2,0,0,0,2,4,1,1,1,0,0,0,0,0,88.74,0
"After EU uses Turkey as buffer to stop refugees from reaching EU (which Turkey did by building Syria border wall, killing &amp; injuring some who try to cross and deporting tens of thousands of others), EU wants to reach similar deals with other buffer states",0,4.777777777777778,0.8444444444444444,10,0,0,0,6,15,14,11,4,0,0,0,0,0,42.72,0
Immigration in a picture,0,5.25,1.0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,33.58,0
Bitch idc when Ima see you hoe!!!,1,3.857142857142857,1.0,2,0,0,0,3,2,4,1,0,0,0,0,0,0,115.13,0
Must stop &amp;deport illegal migrants.India tops the list in the world for having Max foreigners with expired VISAS,1,5.5,0.9444444444444444,8,0,0,0,3,6,7,2,1,0,0,0,0,0,62.34,0
Pssst. Your father in law has a criminal history from his country of origin that would've disqualified him for citizenship. When you're kicked out of our WH we'll send him back w/his chain migrated wife & that racist skank that pretends t,0,4.690476190476191,0.9047619047619048,5,0,0,0,7,19,13,3,3,0,0,0,1,0,67.59,0
"Never let a girl with unblended shadow, unlined lips, and a non-setting foundation w powder ass bitch tell u shit..have a good day y'all",0,4.708333333333333,0.9166666666666666,1,0,0,0,6,5,10,2,1,0,0,0,1,0,76.22,0
"This ceases to become a public forum when people are being policed on the words and phrases that they can and cannot use, objective facts using the phrases #IllegalAliens #IllegalAlien is not about hurt feelings, it is about people not liking a terminology applied to them.",0,4.956521739130435,0.8043478260869565,5,2,0,0,5,23,9,7,4,0,0,0,0,0,33.25,0
bitch im gonna get that damn pair of shoes aMEN,0,3.8,1.0,3,0,0,0,0,2,6,1,0,0,0,0,0,0,112.09,0
Bitches think I'm sayin' hoe like you fucc everybody. I say hoe like I say bitch. Lol try again.,1,4.105263157894737,0.7894736842105263,5,0,0,0,5,3,8,3,0,0,0,2,0,0,98.92,0
"Bitch take ""Kardash"" out yo name. You ain't worthy hoe",1,4.5,1.0,3,0,0,0,4,2,5,2,0,0,0,0,0,0,100.24,0
#UK 'complicit' in spiralling death toll of refugees in Mediterranean,0,6.0,0.9,3,1,0,0,3,3,3,2,2,0,0,0,0,0,78.25,0
i've seen this skank thot basic bitch IG trash before. Her videos are the worst. Such a prostitute,1,4.5,1.0,4,0,0,0,3,6,5,2,0,0,0,0,0,0,99.23,0
"If by hysterical you mean logical, well-read, unapologetic, and passionate, then you, for once, are correct.",0,5.8125,1.0,1,0,0,0,8,7,2,0,0,0,0,0,0,0,38.32,0
"What would I do for Trump? Anything. Yes anything to keep my country FREE, to support are VETS, and to FIGHT radical Islamic terrorism. What would YOU do #ForTrump, who has done so much for America?#MAGA#TCOT#TheXFactor#BuildThatWall",1,5.5,0.8333333333333334,40,5,0,0,12,17,9,4,0,0,0,1,2,0,59.3,0
