text,labels
We also hate you Lil Nicca! Lol RT @redernave: I hate Steelers Dawg,0
You fagot me,0
RT @ Rosiezaya1: Ur Fuck,0
"RT @_politeasshole: 4) Only the pussy niggas that suck dick cry over someone in their mentions, tweet the person then cry again on & # 8230;",0
The slow responses make me feel a delay and I just want to put my foot through a wall ... Hjhdyhdhlgjdftilh,0
@Vinniepolitan Kill the Coons !!!!!!,0
"@Billionairecrow @neelahrelates your which is not going with the white race, you fucking coon kill a shit piece please die alone",0
The big dikes make me want to vomit,0
"& # 8220;@maxwell_larsen: when you live this gay, you cannot be afraid of two black dicks in your buttocks ""you fucking queer",0
"& # 8220;@Glutreredinpink: @ west305 you like 5'8, you need & # 8221;.... 1.You a hoe. 2.I am 5'10 (Breaking11) 3. SUCK MA Cock.",0
@Prophzilla I don't hate that he exploded 3005 like a hipster but I hate the fagots who say they love his music according to his worst +,0
Dogs really hunt their food ... and @wwltv: Dog Shot with Arrow in n.o.east- http://t.co/q1kqt6stwl,0
RT @ maniac3x: @ notoriousbm95 @woody_afc @_whiteponyjr_ @ santi_4l @ bamose12 Start crying and tracking it down.,0
Ion talks about how default negro and thirsty houes are on i.g but boyyyyy is watched here & # 128586;& # 128586;,0
@Drfreezeburnn @daithidenogla I just learned how much delays you can find when you are looking for trend topics.,0
"@dish_answers
You manage Da Bet and Da Msnbc Wit Dat Colored Reverend who listens only to colored. What does I miss any other?",0
@ Soldier1eaodgrn You are a teabager foam that wants to threaten the people of its penis extensor. You are a danger to this country.,0
@Hovaa_ #niggerfood #niggerserson #you #are #a #nigger,0
"@asshole_king oh no.The gay ass who comes out on television? Well, are you welcome to Redskins nation.",0
Hoe with hot ass.,0
"You old bitter and salty ass niccas, my flesh is crawling on my bones!",0
"Yo female dog on my cock she comes to my cradle, she pretends to herself without love",0
Niggas wear more than sluts these days.,0
"I like fucking people. I am a gourmet gourmet ass nigas old like crackers with expired cheese, my name is like & # 8221; nigga im shittin likea goose",0
You & # 8217;re a a small slut RT @fuckingcashbro: RT @thotcho: my team was blown in the Super Bowl,0
@ Buckm00se Joe Cortez is the ultimate pet that the fight has proven it,0
"@ Brice2254 Fuck you, Fagot.",0
You have a special type of fag if you bring chocolate swishers to a smoke session.,0
Stupid dog https://t.co/we46wo15ni,0
Sonnen is a fag,0
I wake up on a new shit like fucking shit,0
RT @Sammi_Boyden: Fuck James tried to tell me that the Jawga boys were zero. I went on a monkey Merde @savigga @ofricialdthrahra @jawgaboyz,0
This stupid black dog who obtained the cards for the photo made me so crazy that she ruined my day & # 128545;& # 128545;& # 128074;& # 128298;& # 128163;,0
Wassup with all these fucc Niccas,0
"""No, it's you @nomeek_justmilz: & # 128514; & # 128514; & # 128514; & # 128514; Yo I thought of some1 Photoshopped my face on this fagot smmfh ... I hate yall"" http://t.co/5e2fkq3q2t",0
#Firefighter is a work for white trash cans,0
I have never had friends all the time that I lived in #Virginia. Persons was not cool for me. I hope these white southerners all die.,0
"@ Englishbrit123 seems to be a good idea. But I want my Word to be widespread. Jiuifs, Negroes and communicated.",0
@GrizzBoadams IGHT NIGGA HAHA FUTAIN queer must erase his schedule,0
@SLothng I can guarantee certain things: you are white. You have never been close to a real ghetto.You or a parent is a pig.100%,0
#Somethingigetalot are you ... Asian? Black? Hawaiian? Gay? Delayed? Drunk?,0
Not Nuttin but a white trash festival.,0
@ Princesslexii16 Fuck,0
@Sassyharryballs or Ballsack is hoiley gtfo tranny prude bitch,0
------ & gt;RT @maxin_betha @humbltonbanks The ankle socks in general are for the Bro Fagots,0
Pure trash can http://t.co/a2rbvebeg1,0
RT @ blakeanderson21: @weston_diamond @sleezy_jeezy @ JustinMiculka01 not about to draw this pussy! IMA beaten her face in the asphalt T ...,0
Good day of Columbus! Even #BILLMAHER AIM #COCAINE ET #Columbus !!! What's wrong with you #Liberals? Fuckin '#Moron #Retards ....,0
"@joshgnf @brana_nv @define808 @ironbjk @mrjstn oh be sure you fagot, get an overused disease on Twitter",0
Must have been a light skin hoe & # 8220;@CampaignMindy: lmfao wtf it means af & # 128557;& # 128557;& # 8220;@trickinggawd: he was not ready Bruh Rip !! http: //t.co/ljrqrdbmfi&#8221; &#8221;,0
@Idisdummies can you speak a coherent sentence without looking like a nignet? Seriously.,0
"Having a cat hitting about 6 feet on the side and a pussy that was in the army lol, I care, you are fucking laughable",0
"@inurselisa @blackredsoxfan
It's a great way to call Honkies all of you",0
Fuck you niggas will not do something mfka oh slut ass faras nigga y't little false ass,0
RT @drizz_lakerking: horrible RT @yyeiiowbang: Invader Zim was garbage,0
@KingxxLopez Roberts is a fuck,0
Kanye West is a fag,0
@Morbidmermaid I swear that God you better not stay with me before work. You have my media threw,0
#Minnesota is full of white trash cans,0
@Herfarm @steveworks4you @thedemocrats your low information information,0
The less delayed poor robots.,0
The rich children of Beverly Hills are garbage and did not even entertain the garbage. And why do they all look at the thirties?,0
@Bellageletti on a fag,0
RT @Cheyennewright_: @ villasenor_30 that means you are a fagot lol,0
"Only pedes say that ""swag"" clears late.",0
You are a jiggaboo ...!,0
"RT @meet_nallah: & # 8220;@mckenxcassie: Some of your hoes are so worried about your eyebrows, you have all forgotten a mustache & # 128514;& # 128557;& # 128557;& # 8221;",0
@Slimgirl_Probz Das called used for the slowdown brain,0
RT @Connorbagen: You know it is a dike when it requires male golf clubs,0
"8/16/14 Mo @govjaynixon let & # 8220;Kill crackers, Kill Babies ""New Black Panthers Hijack Son #ferguson Pressher http://t.co/z2wko9ripz",0
@Chanelisabeth this music nigger,0
"Typically hateful, anti-Christian, mentally ill and ugly Dyke layer, couple Jennifer McCarthy and Melisa Erwin http://t.co/tw9nl5hkmt",0
Okay. This female dog just said what I think. I think you just described stupid,0
"RT @jjjauthor: United States, led by liberal ideology; forged by unions & amp; failed by selfish DEMS which are aimed at parasites!#tcot http: // & # 8230;",0
The reason why Shelby hates sandwiches is because it is strange.@Ronandfezsxm,0
"@ Clinchmtn316 @SixonesixBand America today, the basic rule is: in doubt, blame ""Whitey""",0
@ Matt_petrie22 Geta Life Fagot,0
@ncusade @godmaniac_ com Salary with an American flag,0
@Theshardyrebel #faggot,0
Dyke bitches kill me thinkin they really have houes lol,0
Boy young thug is a fag,0
@ krispy717 @grizzboams fucking gay fagot Watch this gay ass pink shirt haha,0
Ayy Carlton is a ghetto school now #Switchedatbirth,0
RT @ Michaelgt03: Happy Birthday Fagots Fagots @ Cooopster98 @ chase123456718,0
@Morbidmermaid do you work today Niglet?,0
Hey.@Barack Obama. Don't be like a stupid white female dog in a horror film asks #amica to hide from #isis behind a few chainsaws. Kay?,0
"@Wendydavistexas @Gregabbott_tx so that you support the ""illegal"" by coming here and propagating the disease among the Americans dream of this dog!",0
"@ joh2guy I like racism! ""Blame Whitey"" for everything!
Now that you say it! I bet that the white man has put the desert turtle on #Bundyranch",0
@Asshole_king with pills that night will last 4 years. As Magic J. Nigeria should have died years ago. You are all the first team to write gays.,0
Black dogs are not kicking in our school. The sluts always arrive with Durags always on their heads and shit.,0
@Im_thirst randies are pedestals,0
Each gook in #losangeles must be expelled or killed.,0
& # 8220;@Alexadelsanter: It's awkward u fag @corleyhuff @vitchhhhhhhhhhhidhhhhhhhhidonhhhhhhhhhhhhidhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh.,0
U coons is eager to wear them oreo j's,0
@Devilfzyq @Devilelyie @tehdevilclan Firm yourself,0
@ Rabehchararah1 lmaoo what fag,0
The #midwest of the United States is a white trash can.,0
@Infidelalie which should read suck on my bacon embedded from the Muslim tones of the major,0
https://t.co/jtlzergxi0 leo fucking the you fag vine,0
"RT @imalagirl: pillow that speaks too, hates a nigga fucks around you hoe like that & # 128175;",0
"The nudes of Jennifer Lawrence are so much waste. I am still Smashin however, without a doubt",0
"@StanleyStinks shame of you! Kike self-determined.
We, the Jews, are the elected people of Gd.",0
"@jakiekoelewijn nigga which is slut, fucking cracker, remove your gay ass from my mentions.",0
I hate when blacks try to be white so bad ... you are a negro,0
"@ Triple6em96 @hunglikebby_ slut you look at your fucking mouth, you fucking dirty. I swear to God it is a thin line",0
"Pantera - 5 minutes alone http://t.co/srn5yc16 @chrisrock 5 minutes, Boy pussy ... I'm going to crush you.",0
RT @Cuhcuhcraig: Is it Kawhi Leonard? SMH RT & # 8220;@idntwearcondoms: wow you will really flee or .. NVM RT @MSJOSELINE: Ion need I fuc nig http: & # 8230;,0
"If someone is not an Anglo-Saxon Protestant, they are not allowed to be alive in the United States. No at all, they are foreign dirt.",0
4 life monkey porch,0
