text,labels
We wish you too! Lil nicca! Lol @redfernave: I hate steelers dawg,0
You made me bangot,0
RT @Rosiezaya1: Ur nenorocit de gunoi alb,0
"RT @_politeashole: 4) Only the niggas pussy that sucks the dick crying about someone in their mentions, tweet the person, then cries again about &#8230;",0
Slow answers make me feel like a delay and I just want to put my foot through a wall ... Hjhdyhdhlgjdftilh,0
@Vinniepolitan Kill the Coons !!!!!!,0
@BillionairecRow @neelahrelates your what is not wrong with the white breed that you fuck coon kills the poop song please die alone,0
Dykes fat make me want to vomit,0
"&#8220;@Maxwell_larsen: When you live this gay, it can not be afraid of two black drops in your ass. ”",0
"&#8220;@Gliteredinpink: @west305 you like 5'8, you have to be &#8221;... 1. a dig.2.Are 5'10 (breaking11) 3. suck my dick.",0
@Prophzilla I don't hate that it has exploded from 3005 as a hipster but hate fagot that they like to like music based on the worst +,0
The caps really hunting -and the food ... rt @wwltv: dog loaded with arrow in n.o.east- http://t.co/q1kqt6stwl,0
RT @maniac3x: @notoriousbm95 @woody_afc @_whiteponyjr_ @santi_4l @bamoose12 Start to cry and watch the phagot.,0
"Ion talks about how they are defective and null thirsty on I.G, but Boyyyyy forgets here &#128586;&#128586;",0
@Drfreezeburnn @daithidenogla I only learned how many retard you can find when you are looking for trend topics.,0
"@dish_answers
Do you give Bet and give Msnbc Wit given Colored Reverend, who listens only to Colored.What are missing?",0
@Soldiers a danger to this country.,0
@Hovaa_ #niggerfood #niggerperson #you #a #a #nigger,0
"@asshole_king oh did not. They wrote that gay ass that goes out on TV? Well, welcome to Redskins Nation. There are only a lot of blacks.",0
Raunchy ass.,0
"You bitter old, the salty bottom, niccas, make my meat crawl from the bones! Such puppies you are!",0
"Yo bitch on my dick, she came to my cottage, she passed around me, no love",0
Niggas wears wigs more than the dogs these days.,0
I like people with the hell. I am givin the old nigas bottom as biscuits with expired cheese Dey to tell me as &#8221; nigga im shittin likea goose,0
Tu ești o curvă rt @fuckingcashbro: rt @thotcho: echipa mea a fost suflată în Super Bowl,0
@Buckm00se Joe Cortez is the final phagot that has proven -o,0
"@Brice2254 fuck you, phagot.",0
You are a special type of phagot if you bring chocolate swishers to a smoke session.,0
But Bitch https://t.co/we46wo15ni,0
Sonnen is a fagot,0
Mă trezesc pe niște rahaturi noi ca dracu 'cățea de rahat,0
RT @sammi_boyden: James James tried to tell me the jawga.m boys I went to a shit type @savanigga @officialdthrash @jawgaboyz,0
The black whore that received the books for the picture made me so crazy that it broke my day &#128545;&#128545;&#128074;&#128298;&#128163;,0
Wassup with all these fucc niccas,0
"""Nah is you @nomeek_justmilz: &#128514; &#128514; &#128514; &#128514; yo I thought",0
#firefighter is a work for white garbage,0
I have never had friends all the time I lived in #Virginia. It was not cool.,0
@EnglishBrit123 sounds like a good idea. But I want my word to be widespread.,0
@Grizzboadams IGht Nigga haha Dracului Queer must clear their program,0
"@Slothng can guarantee a few things: you are white. You never been nowhere next to a true ghetto.u, or a relative is a pig.100%",0
